 
****************************************
Report : area
Design : Baseline_4KB
Version: O-2018.06-SP5-5
Date   : Tue Feb  3 05:06:24 2026
****************************************

Library(s) Used:

    tcbn22ullbwp30p140tt0p9v25c (File: /home21/longyang/common/share/tsmc22/tcbn22ullbwp30p140_110b/tcbn22ullbwp30p140_110b/AN61001_20201222/TSMCHOME/digital/Front_End/timing_power_noise/NLDM/tcbn22ullbwp30p140_110b/tcbn22ullbwp30p140tt0p9v25c.db)

Number of ports:                       732677
Number of nets:                       5300530
Number of cells:                      4620723
Number of combinational cells:        3799702
Number of sequential cells:            804365
Number of macros/black boxes:               0
Number of buf/inv:                     379754
Number of references:                    3237

Combinational area:            2464309.603857
Buf/Inv area:                   101492.748947
Noncombinational area:         1573477.267209
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:               4037786.871065
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area                Local cell area
                                  ---------------------  ---------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-        Noncombi-     Black-
                                  Total         Total    national      national      boxes   Design
VFU_4_ctrl_101/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_422_DW01_inc_0
VFU_4_ctrl_101/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_422
VFU_4_ctrl_102                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_421
VFU_4_ctrl_102/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_421_DW01_inc_0
VFU_4_ctrl_102/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_421
VFU_4_ctrl_103                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_420
VFU_4_ctrl_103/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_420_DW01_inc_0
VFU_4_ctrl_103/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_420
VFU_4_ctrl_104                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_419
VFU_4_ctrl_104/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_419_DW01_inc_0
VFU_4_ctrl_104/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_419
VFU_4_ctrl_105                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_418
VFU_4_ctrl_105/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_418_DW01_inc_0
VFU_4_ctrl_105/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_418
VFU_4_ctrl_106                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_417
VFU_4_ctrl_106/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_417_DW01_inc_0
VFU_4_ctrl_106/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_417
VFU_4_ctrl_107                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_416
VFU_4_ctrl_107/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_416_DW01_inc_0
VFU_4_ctrl_107/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_416
VFU_4_ctrl_108                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_415
VFU_4_ctrl_108/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_415_DW01_inc_0
VFU_4_ctrl_108/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_415
VFU_4_ctrl_109                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_414
VFU_4_ctrl_109/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_414_DW01_inc_0
VFU_4_ctrl_109/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_414
VFU_4_ctrl_11                         612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_512
VFU_4_ctrl_11/add_45                   14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_512_DW01_inc_0
VFU_4_ctrl_11/vn4_inst                151.0740      0.0      151.0740        0.0000  0.0000  vn4_512
VFU_4_ctrl_110                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_413
VFU_4_ctrl_110/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_413_DW01_inc_0
VFU_4_ctrl_110/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_413
VFU_4_ctrl_111                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_412
VFU_4_ctrl_111/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_412_DW01_inc_0
VFU_4_ctrl_111/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_412
VFU_4_ctrl_112                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_411
VFU_4_ctrl_112/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_411_DW01_inc_0
VFU_4_ctrl_112/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_411
VFU_4_ctrl_113                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_410
VFU_4_ctrl_113/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_410_DW01_inc_0
VFU_4_ctrl_113/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_410
VFU_4_ctrl_114                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_409
VFU_4_ctrl_114/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_409_DW01_inc_0
VFU_4_ctrl_114/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_409
VFU_4_ctrl_115                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_408
VFU_4_ctrl_115/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_408_DW01_inc_0
VFU_4_ctrl_115/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_408
VFU_4_ctrl_116                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_407
VFU_4_ctrl_116/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_407_DW01_inc_0
VFU_4_ctrl_116/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_407
VFU_4_ctrl_117                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_406
VFU_4_ctrl_117/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_406_DW01_inc_0
VFU_4_ctrl_117/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_406
VFU_4_ctrl_118                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_405
VFU_4_ctrl_118/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_405_DW01_inc_0
VFU_4_ctrl_118/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_405
VFU_4_ctrl_119                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_404
VFU_4_ctrl_119/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_404_DW01_inc_0
VFU_4_ctrl_119/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_404
VFU_4_ctrl_12                         612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_511
VFU_4_ctrl_12/add_45                   14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_511_DW01_inc_0
VFU_4_ctrl_12/vn4_inst                151.0740      0.0      151.0740        0.0000  0.0000  vn4_511
VFU_4_ctrl_120                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_403
VFU_4_ctrl_120/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_403_DW01_inc_0
VFU_4_ctrl_120/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_403
VFU_4_ctrl_121                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_402
VFU_4_ctrl_121/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_402_DW01_inc_0
VFU_4_ctrl_121/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_402
VFU_4_ctrl_122                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_401
VFU_4_ctrl_122/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_401_DW01_inc_0
VFU_4_ctrl_122/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_401
VFU_4_ctrl_123                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_400
VFU_4_ctrl_123/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_400_DW01_inc_0
VFU_4_ctrl_123/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_400
VFU_4_ctrl_124                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_399
VFU_4_ctrl_124/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_399_DW01_inc_0
VFU_4_ctrl_124/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_399
VFU_4_ctrl_125                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_398
VFU_4_ctrl_125/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_398_DW01_inc_0
VFU_4_ctrl_125/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_398
VFU_4_ctrl_126                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_397
VFU_4_ctrl_126/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_397_DW01_inc_0
VFU_4_ctrl_126/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_397
VFU_4_ctrl_127                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_396
VFU_4_ctrl_127/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_396_DW01_inc_0
VFU_4_ctrl_127/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_396
VFU_4_ctrl_128                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_395
VFU_4_ctrl_128/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_395_DW01_inc_0
VFU_4_ctrl_128/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_395
VFU_4_ctrl_129                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_394
VFU_4_ctrl_129/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_394_DW01_inc_0
VFU_4_ctrl_129/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_394
VFU_4_ctrl_13                         612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_510
VFU_4_ctrl_13/add_45                   14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_510_DW01_inc_0
VFU_4_ctrl_13/vn4_inst                151.0740      0.0      151.0740        0.0000  0.0000  vn4_510
VFU_4_ctrl_130                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_393
VFU_4_ctrl_130/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_393_DW01_inc_0
VFU_4_ctrl_130/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_393
VFU_4_ctrl_131                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_392
VFU_4_ctrl_131/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_392_DW01_inc_0
VFU_4_ctrl_131/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_392
VFU_4_ctrl_132                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_391
VFU_4_ctrl_132/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_391_DW01_inc_0
VFU_4_ctrl_132/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_391
VFU_4_ctrl_133                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_390
VFU_4_ctrl_133/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_390_DW01_inc_0
VFU_4_ctrl_133/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_390
VFU_4_ctrl_134                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_389
VFU_4_ctrl_134/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_389_DW01_inc_0
VFU_4_ctrl_134/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_389
VFU_4_ctrl_135                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_388
VFU_4_ctrl_135/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_388_DW01_inc_0
VFU_4_ctrl_135/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_388
VFU_4_ctrl_136                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_387
VFU_4_ctrl_136/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_387_DW01_inc_0
VFU_4_ctrl_136/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_387
VFU_4_ctrl_137                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_386
VFU_4_ctrl_137/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_386_DW01_inc_0
VFU_4_ctrl_137/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_386
VFU_4_ctrl_138                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_385
VFU_4_ctrl_138/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_385_DW01_inc_0
VFU_4_ctrl_138/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_385
VFU_4_ctrl_139                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_384
VFU_4_ctrl_139/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_384_DW01_inc_0
VFU_4_ctrl_139/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_384
VFU_4_ctrl_14                         612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_509
VFU_4_ctrl_14/add_45                   14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_509_DW01_inc_0
VFU_4_ctrl_14/vn4_inst                151.0740      0.0      151.0740        0.0000  0.0000  vn4_509
VFU_4_ctrl_140                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_383
VFU_4_ctrl_140/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_383_DW01_inc_0
VFU_4_ctrl_140/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_383
VFU_4_ctrl_141                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_382
VFU_4_ctrl_141/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_382_DW01_inc_0
VFU_4_ctrl_141/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_382
VFU_4_ctrl_142                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_381
VFU_4_ctrl_142/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_381_DW01_inc_0
VFU_4_ctrl_142/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_381
VFU_4_ctrl_143                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_380
VFU_4_ctrl_143/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_380_DW01_inc_0
VFU_4_ctrl_143/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_380
VFU_4_ctrl_144                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_379
VFU_4_ctrl_144/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_379_DW01_inc_0
VFU_4_ctrl_144/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_379
VFU_4_ctrl_145                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_378
VFU_4_ctrl_145/add_45                  14.3640      0.0       14.3640        0.0000  0.0000  VFU_4_ctrl_378_DW01_inc_0
VFU_4_ctrl_145/vn4_inst               151.0740      0.0      151.0740        0.0000  0.0000  vn4_378
VFU_4_ctrl_146                        612.1080      0.0      126.8820      319.7880  0.0000  VFU_4_ctrl_377
